Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365),,
09-Sep-21,501314,103.3,98.4,0.0486,0.0243,0.0245,0.4681,2.45,46.81
09-Sep-21,501351,33.25,33.25,0,0.0028,0.0028,0.0535,0.28,5.35
09-Sep-21,501370,86.35,84.15,0.0258,0.0398,0.0397,0.7585,3.97,75.85
09-Sep-21,501386,5.61,5.61,0,0,0,0,0,0
09-Sep-21,501391,166.2,166.2,0,0.034,0.034,0.6496,3.4,64.96
09-Sep-21,501421,214.4,222,-0.0348,0.0312,0.0313,0.598,3.13,59.8
09-Sep-21,501423,1876.45,1896.75,-0.0108,0.0333,0.0332,0.6343,3.32,63.43
09-Sep-21,501430,629.95,630,-0.0001,0.0339,0.0339,0.6477,3.39,64.77
09-Sep-21,501477,123,123.65,-0.0053,0.0286,0.0285,0.5445,2.85,54.45
09-Sep-21,501622,20.2,20.2,0,0.0328,0.0327,0.6247,3.27,62.47
09-Sep-21,501630,18.3,18.3,0,0,0,0,0,0
09-Sep-21,501700,17.35,16.95,0.0233,0.0352,0.0352,0.6725,3.52,67.25
09-Sep-21,501831,249.05,248.6,0.0018,0.0327,0.0326,0.6228,3.26,62.28
09-Sep-21,501833,10.35,10.1,0.0245,0.0367,0.0366,0.6992,3.66,69.92
09-Sep-21,501848,27.85,29.15,-0.0456,0.0408,0.0408,0.7795,4.08,77.95
09-Sep-21,501945,1.34,1.32,0.015,0.0125,0.0125,0.2388,1.25,23.88
09-Sep-21,502015,16.01,16.32,-0.0192,0.0426,0.0425,0.812,4.25,81.2
09-Sep-21,502175,100.6,100.7,-0.001,0.0333,0.0332,0.6343,3.32,63.43
09-Sep-21,502250,206,206,0,0.0133,0.0132,0.2522,1.32,25.22
09-Sep-21,502271,14.5,14,0.0351,0.0287,0.0287,0.5483,2.87,54.83
09-Sep-21,502281,5.9,6,-0.0168,0.0439,0.0438,0.8368,4.38,83.68
09-Sep-21,502294,39.85,41.9,-0.0502,0.0209,0.0212,0.405,2.12,40.5
09-Sep-21,502445,12.44,11.93,0.0419,0.0381,0.0381,0.7279,3.81,72.79
09-Sep-21,502460,36.95,35.2,0.0485,0.0116,0.0121,0.2312,1.21,23.12
09-Sep-21,502563,1.62,1.62,0,0.0182,0.0182,0.3477,1.82,34.77
09-Sep-21,502587,96.4,97.1,-0.0072,0.0376,0.0375,0.7164,3.75,71.64
09-Sep-21,502589,21.75,20.75,0.0471,0.0257,0.0258,0.4929,2.58,49.29
09-Sep-21,502850,16.9,16.9,0,0.0372,0.0371,0.7088,3.71,70.88
09-Sep-21,502865,4116.5,3898.7,0.0544,0.0328,0.0329,0.6286,3.29,62.86
09-Sep-21,502873,92.6,95.55,-0.0314,0.0374,0.0374,0.7145,3.74,71.45
09-Sep-21,502893,35.15,34.1,0.0303,0.0283,0.0283,0.5407,2.83,54.07
09-Sep-21,502958,3373.25,3426,-0.0155,0.0318,0.0318,0.6075,3.18,60.75
09-Sep-21,503092,17.5,16.89,0.0355,0.0327,0.0327,0.6247,3.27,62.47
09-Sep-21,503127,7258.45,6912.85,0.0488,0.0298,0.0299,0.5712,2.99,57.12
09-Sep-21,503162,171.9,174.8,-0.0167,0.0386,0.0385,0.7355,3.85,73.55
09-Sep-21,503229,78.35,77.5,0.0109,0.0372,0.0371,0.7088,3.71,70.88
09-Sep-21,503349,3267.3,3225.15,0.013,0.0325,0.0324,0.619,3.24,61.9
09-Sep-21,503622,7,7,0,0,0,0,0,0
09-Sep-21,503624,9.9,9.43,0.0486,0.0327,0.0328,0.6266,3.28,62.66
09-Sep-21,503635,12,12,0,0.002,0.002,0.0382,0.2,3.82
09-Sep-21,503641,27.05,26.6,0.0168,0.0339,0.0338,0.6457,3.38,64.57
09-Sep-21,503657,13.24,13.67,-0.032,0.0388,0.0387,0.7394,3.87,73.94
09-Sep-21,503659,61.85,65.1,-0.0512,0.0231,0.0233,0.4451,2.33,44.51
09-Sep-21,503663,6.02,5.74,0.0476,0.033,0.0331,0.6324,3.31,63.24
09-Sep-21,503669,10.45,11,-0.0513,0.0278,0.028,0.5349,2.8,53.49
09-Sep-21,503671,4.55,4.55,0,0,0,0,0,0
09-Sep-21,503675,1.03,1.04,-0.0097,0.0208,0.0208,0.3974,2.08,39.74
